country,reference_date,Rt
Europe,2022-05-05,4.701892250275333
Europe,2022-05-06,4.656381389660083
Europe,2022-05-07,4.596279638587509
Europe,2022-05-08,4.5215869970576055
Europe,2022-05-09,4.432303465070375
Europe,2022-05-10,4.328429042625818
Europe,2022-05-11,4.209963729723934
Europe,2022-05-12,4.076907526364724
Europe,2022-05-13,3.929260432548185
Europe,2022-05-14,3.7670224482743198
Europe,2022-05-15,3.5901935735431265
Europe,2022-05-16,3.399563706441286
Europe,2022-05-17,3.199872235488874
Europe,2022-05-18,2.9919090587725674
Europe,2022-05-19,2.7756741762923682
Europe,2022-05-20,2.5511675880482767
Europe,2022-05-21,2.3183892940402924
Europe,2022-05-22,2.0773392942684143
Europe,2022-05-23,1.8360996154123694
Europe,2022-05-24,1.643162417550511
Europe,2022-05-25,1.5066097273625647
Europe,2022-05-26,1.4264415448485306
Europe,2022-05-27,1.4026578700084085
Europe,2022-05-28,1.4352587028421988
Europe,2022-05-29,1.5242440433499012
Europe,2022-05-30,1.6590360163806532
Europe,2022-05-31,1.77616737102928
Europe,2022-06-01,1.8650602321449181
Europe,2022-06-02,1.9257145997275682
Europe,2022-06-03,1.95813047377723
Europe,2022-06-04,1.9623078542939036
Europe,2022-06-05,1.938246741277589
Europe,2022-06-06,1.8896302814814694
Europe,2022-06-07,1.838557355424645
Europe,2022-06-08,1.7887111098602986
Europe,2022-06-09,1.7400915447884304
Europe,2022-06-10,1.69269866020904
Europe,2022-06-11,1.646532456122128
Europe,2022-06-12,1.6015929325276936
Europe,2022-06-13,1.5577787958923424
Europe,2022-06-14,1.514482285015701
Europe,2022-06-15,1.4716021063643738
Europe,2022-06-16,1.429138259938361
Europe,2022-06-17,1.387090745737663
Europe,2022-06-18,1.345459563762279
Europe,2022-06-19,1.3042447140122095
Europe,2022-06-20,1.2644450715783366
Europe,2022-06-21,1.2320538870059552
Europe,2022-06-22,1.2080700353859464
Europe,2022-06-23,1.192493516718311
Europe,2022-06-24,1.1853243310030486
Europe,2022-06-25,1.1865624782401596
Europe,2022-06-26,1.1962079584296434
Europe,2022-06-27,1.2127927037709758
Europe,2022-06-28,1.22750830746101
Europe,2022-06-29,1.238886701699221
Europe,2022-06-30,1.2469278864856093
Europe,2022-07-01,1.2516318618201745
Europe,2022-07-02,1.2529986277029166
Europe,2022-07-03,1.2510281841338353
Europe,2022-07-04,1.2451339562939583
Europe,2022-07-05,1.2317964952694447
Europe,2022-07-06,1.2104292262413217
Europe,2022-07-07,1.181032149209589
Europe,2022-07-08,1.1436052641742467
Europe,2022-07-09,1.0981485711352952
Europe,2022-07-10,1.0446620700927336
Europe,2022-07-11,0.9856025973110477
Europe,2022-07-12,0.9357111703771472
Europe,2022-07-13,0.8974446255555169
Europe,2022-07-14,0.870802962846157
Europe,2022-07-15,0.8557861822490673
Europe,2022-07-16,0.852394283764248
Europe,2022-07-17,0.8606272673916988
Europe,2022-07-18,0.8783719548000718
Europe,2022-07-19,0.8929492760012777
Europe,2022-07-20,0.9022460526639677
Europe,2022-07-21,0.9062622847881424
Europe,2022-07-22,0.9049979723738013
Europe,2022-07-23,0.898453115420945
Europe,2022-07-24,0.8866277139295727
Europe,2022-07-25,0.8704857458971454
Europe,2022-07-26,0.855811079308425
Europe,2022-07-27,0.8435676921608716
Europe,2022-07-28,0.8337555844544852
Europe,2022-07-29,0.8263747561892658
Europe,2022-07-30,0.8214252073652134
Europe,2022-07-31,0.8189069379823282
Europe,2022-08-01,0.8180635853900503
Europe,2022-08-02,0.8143569736850224
Europe,2022-08-03,0.8070307402166843
Europe,2022-08-04,0.7960848849850366
Europe,2022-08-05,0.7815194079900788
Europe,2022-08-06,0.7633343092318111
Europe,2022-08-07,0.7415295887102336
Europe,2022-08-08,0.7171884621102312
Europe,2022-08-09,0.696810223541115
Europe,2022-08-10,0.6814780886877697
Europe,2022-08-11,0.6711920575501955
Europe,2022-08-12,0.6659521301283923
Europe,2022-08-13,0.6657583064223602
Europe,2022-08-14,0.6706105864320991
Europe,2022-08-15,0.6797400169639356
Europe,2022-08-16,0.6885328788558276
Europe,2022-08-17,0.6962202189141014
Europe,2022-08-18,0.7028020371387571
Europe,2022-08-19,0.7082783335297945
Europe,2022-08-20,0.7126491080872142
Europe,2022-08-21,0.7159143608110154
Europe,2022-08-22,0.7180870833012143
Europe,2022-08-23,0.7192452251579035
Europe,2022-08-24,0.7194017779810986
Europe,2022-08-25,0.7185567417707999
Europe,2022-08-26,0.716710116527007
Europe,2022-08-27,0.7138619022497202
Europe,2022-08-28,0.7100120989389396
Europe,2022-08-29,0.7051607065946646
Europe,2022-08-30,0.6993077252168958
Europe,2022-08-31,0.6924531548056329
Europe,2022-09-01,0.6845969953608761
France,2022-05-12,12.205473239887365
France,2022-05-13,11.534042034624195
France,2022-05-14,10.841269835874026
France,2022-05-15,10.127156643636862
France,2022-05-16,9.391702457912704
France,2022-05-17,8.634907278701546
France,2022-05-18,7.856771106003392
France,2022-05-19,7.057293939818242
France,2022-05-20,6.236475780146096
France,2022-05-21,5.394316626986952
France,2022-05-22,4.530816480340812
France,2022-05-23,3.667397273557261
France,2022-05-24,2.9325906067338194
France,2022-05-25,2.3478184132200717
France,2022-05-26,1.9130806930160187
France,2022-05-27,1.62837744612166
France,2022-05-28,1.4937086725369966
France,2022-05-29,1.509074372262027
France,2022-05-30,1.6526961408205083
France,2022-05-31,1.793903551354975
France,2022-06-01,1.910918199389182
France,2022-06-02,2.00374008492313
France,2022-06-03,2.072369207956819
France,2022-06-04,2.116805568490249
France,2022-06-05,2.1370491665234193
France,2022-06-06,2.135271028272029
France,2022-06-07,2.1244973110302716
France,2022-06-08,2.106899041013845
France,2022-06-09,2.0824762182227494
France,2022-06-10,2.0512288426569842
France,2022-06-11,2.013156914316551
France,2022-06-12,1.9682604332014475
France,2022-06-13,1.918104896420641
France,2022-06-14,1.872083286627923
France,2022-06-15,1.831761100932258
France,2022-06-16,1.7971383393336473
France,2022-06-17,1.7682150018320897
France,2022-06-18,1.744991088427586
France,2022-06-19,1.7274665991201354
France,2022-06-20,1.7135262277059566
France,2022-06-21,1.6904781369623525
France,2022-06-22,1.6562070206855404
France,2022-06-23,1.6107128788755207
France,2022-06-24,1.553995711532293
France,2022-06-25,1.4860555186558582
France,2022-06-26,1.4068923002462146
France,2022-06-27,1.3202916458170662
France,2022-06-28,1.248967092450628
France,2022-06-29,1.1967042296606016
France,2022-06-30,1.1635030574469878
France,2022-07-01,1.1493635758097862
France,2022-07-02,1.1542857847489971
France,2022-07-03,1.1782696842646199
France,2022-07-04,1.2164350920822824
France,2022-07-05,1.239500914555746
France,2022-07-06,1.2425869694106377
France,2022-07-07,1.2256932566469578
France,2022-07-08,1.188819776264706
France,2022-07-09,1.1319665282638824
France,2022-07-10,1.0551335126444867
France,2022-07-11,0.9627093578691172
France,2022-07-12,0.8810258347133597
France,2022-07-13,0.8144715716398113
France,2022-07-14,0.7630465686484729
France,2022-07-15,0.7267508257393436
France,2022-07-16,0.7055843429124241
France,2022-07-17,0.6995471201677138
France,2022-07-18,0.7077532118534052
France,2022-07-19,0.7248869440586498
France,2022-07-20,0.7500623711316392
France,2022-07-21,0.7832794930723735
France,2022-07-22,0.824538309880853
France,2022-07-23,0.8738388215570775
France,2022-07-24,0.9311810281010466
France,2022-07-25,0.9932759440636798
France,2022-07-26,1.0403896567504896
France,2022-07-27,1.069233180712394
France,2022-07-28,1.0798065159493937
France,2022-07-29,1.072109662461488
France,2022-07-30,1.0461426202486779
France,2022-07-31,1.0019053893109624
France,2022-08-01,0.9425426717356661
France,2022-08-02,0.8869226800467325
France,2022-08-03,0.8381901163314849
France,2022-08-04,0.7963449805899239
France,2022-08-05,0.7613872728220489
France,2022-08-06,0.7333169930278605
France,2022-08-07,0.7121341412073581
France,2022-08-08,0.6975811555054761
France,2022-08-09,0.6881126647918178
France,2022-08-10,0.6834711072113165
France,2022-08-11,0.6836564827639726
France,2022-08-12,0.6886687914497861
France,2022-08-13,0.698508033268757
France,2022-08-14,0.713174208220885
France,2022-08-15,0.7315928936304654
France,2022-08-16,0.7473175534432692
France,2022-08-17,0.7592737649835909
France,2022-08-18,0.7674615282514309
France,2022-08-19,0.7718808432467889
France,2022-08-20,0.7725317099696652
France,2022-08-21,0.7694141284200595
France,2022-08-22,0.7634493775789015
France,2022-08-23,0.7601651313317682
France,2022-08-24,0.760482668659589
France,2022-08-25,0.7644019895623637
France,2022-08-26,0.7719230940400925
France,2022-08-27,0.7830459820927755
France,2022-08-28,0.7977706537204128
France,2022-08-29,0.8160971089230038
France,2022-08-30,0.8380253477005492
France,2022-08-31,0.8635553700530484
France,2022-09-01,0.892687175980502
Germany,2022-05-12,12.205473239887366
Germany,2022-05-13,10.412979181257379
Germany,2022-05-14,8.802899675914645
Germany,2022-05-15,7.375234723859161
Germany,2022-05-16,6.129984325090934
Germany,2022-05-17,5.067148479609955
Germany,2022-05-18,4.186727187416231
Germany,2022-05-19,3.4887204485097603
Germany,2022-05-20,2.973128262890541
Germany,2022-05-21,2.639950630558574
Germany,2022-05-22,2.4891875515138597
Germany,2022-05-23,2.4974829885553045
Germany,2022-05-24,2.5247007184763435
Germany,2022-05-25,2.5474847040758815
Germany,2022-05-26,2.5658349453539206
Germany,2022-05-27,2.5797514423104597
Germany,2022-05-28,2.589234194945499
Germany,2022-05-29,2.5942832032590375
Germany,2022-05-30,2.594288812163167
Germany,2022-05-31,2.585593091130428
Germany,2022-06-01,2.567586385072908
Germany,2022-06-02,2.540268693990609
Germany,2022-06-03,2.503640017883531
Germany,2022-06-04,2.457700356751673
Germany,2022-06-05,2.402449710595035
Germany,2022-06-06,2.337514623940218
Germany,2022-06-07,2.260654363946819
Germany,2022-06-08,2.1714954751414375
Germany,2022-06-09,2.070037957524073
Germany,2022-06-10,1.956281811094726
Germany,2022-06-11,1.8302270358533965
Germany,2022-06-12,1.6918736318000842
Germany,2022-06-13,1.54560798603033
Germany,2022-06-14,1.4177484211173754
Germany,2022-06-15,1.3126813241567603
Germany,2022-06-16,1.2304066951484856
Germany,2022-06-17,1.17092453409255
Germany,2022-06-18,1.1342348409889547
Germany,2022-06-19,1.1203376158376992
Germany,2022-06-20,1.126010657457559
Germany,2022-06-21,1.1319207587611868
Germany,2022-06-22,1.1348457185673577
Germany,2022-06-23,1.134785536876072
Germany,2022-06-24,1.1317402136873291
Germany,2022-06-25,1.1257097490011299
Germany,2022-06-26,1.1166941428174737
Germany,2022-06-27,1.1059246654833534
Germany,2022-06-28,1.100788939080726
Germany,2022-06-29,1.1025182339565833
Germany,2022-06-30,1.111112550110926
Germany,2022-07-01,1.1265718875437538
Germany,2022-07-02,1.1488962462550667
Germany,2022-07-03,1.1780856262448647
Germany,2022-07-04,1.2108709300332026
Germany,2022-07-05,1.2276375727404059
Germany,2022-07-06,1.225116456886529
Germany,2022-07-07,1.203307582471572
Germany,2022-07-08,1.1622109494955348
Germany,2022-07-09,1.1018265579584179
Germany,2022-07-10,1.0221544078602205
Germany,2022-07-11,0.9277685758669406
Germany,2022-07-12,0.8461135219745629
Germany,2022-07-13,0.7817633228490845
Germany,2022-07-14,0.7347179784905058
Germany,2022-07-15,0.7049774888988265
Germany,2022-07-16,0.6925418540740467
Germany,2022-07-17,0.6974110740161662
Germany,2022-07-18,0.7169203187456815
Germany,2022-07-19,0.7350806083855688
Germany,2022-07-20,0.749227112956324
Germany,2022-07-21,0.7593598324579476
Germany,2022-07-22,0.7654787668904389
Germany,2022-07-23,0.7675839162537983
Germany,2022-07-24,0.7656752805480258
Germany,2022-07-25,0.7605733984783335
Germany,2022-07-26,0.7572015022759929
Germany,2022-07-27,0.756380130646216
Germany,2022-07-28,0.7581092835890031
Germany,2022-07-29,0.7623889611043535
Germany,2022-07-30,0.769219163192268
Germany,2022-07-31,0.7785998898527462
Germany,2022-08-01,0.7894808099805741
Germany,2022-08-02,0.7955599369444681
Germany,2022-08-03,0.7957869396392141
Germany,2022-08-04,0.7901618180648121
Germany,2022-08-05,0.778684572221262
Germany,2022-08-06,0.761355202108564
Germany,2022-08-07,0.738173707726718
Germany,2022-08-08,0.7107022345921329
Germany,2022-08-09,0.6883136558032631
Germany,2022-08-10,0.6725701168765171
Germany,2022-08-11,0.6634716178118952
Germany,2022-08-12,0.6610181586093973
Germany,2022-08-13,0.6652097392690235
Germany,2022-08-14,0.6760463597907735
Germany,2022-08-15,0.6918033781915168
Germany,2022-08-16,0.702132942572468
Germany,2022-08-17,0.7053104109504961
Germany,2022-08-18,0.701335783325601
Germany,2022-08-19,0.6902090596977829
Germany,2022-08-20,0.6719302400670419
Germany,2022-08-21,0.6464993244333778
Germany,2022-08-22,0.6154371490798765
Germany,2022-08-23,0.5878687317050538
Germany,2022-08-24,0.5653149085919957
Germany,2022-08-25,0.5477756797407021
Germany,2022-08-26,0.5352510451511729
Germany,2022-08-27,0.5277410048234086
Germany,2022-08-28,0.5252455587574086
Germany,2022-08-29,0.5277647069531732
Germany,2022-08-30,0.5352984494107024
Germany,2022-08-31,0.5478467861299959
Germany,2022-09-01,0.5654097171110543
Italy,2022-05-19,3.416151807369247
Italy,2022-05-20,2.3372979861642396
Italy,2022-05-21,1.4808966275511812
Italy,2022-05-22,0.8469477315300723
Italy,2022-05-23,0.43545129810091376
Italy,2022-05-24,0.24640732726370396
Italy,2022-05-25,0.2798158190184439
Italy,2022-05-26,0.5356767733651335
Italy,2022-05-27,1.013990190303773
Italy,2022-05-28,1.7147560698343616
Italy,2022-05-29,2.6379744119568995
Italy,2022-05-30,3.720692024888022
Italy,2022-05-31,4.585189757927537
Italy,2022-06-01,5.1685144192920776
Italy,2022-06-02,5.470666008981646
Italy,2022-06-03,5.491644526996241
Italy,2022-06-04,5.231449973335863
Italy,2022-06-05,4.690082348000511
Italy,2022-06-06,3.9189333890136657
Italy,2022-06-07,3.226353524516203
Italy,2022-06-08,2.6637344925316024
Italy,2022-06-09,2.2310762930598624
Italy,2022-06-10,1.9283789261009843
Italy,2022-06-11,1.755642391654968
Italy,2022-06-12,1.712866689721813
Italy,2022-06-13,1.7780231028501798
Italy,2022-06-14,1.818939326332027
Italy,2022-06-15,1.8135866427160139
Italy,2022-06-16,1.7619650520021413
Italy,2022-06-17,1.6640745541904083
Italy,2022-06-18,1.5199151492808156
Italy,2022-06-19,1.3294868372733626
Italy,2022-06-20,1.1057935788371451
Italy,2022-06-21,0.9268591379867352
Italy,2022-06-22,0.8056874753912273
Italy,2022-06-23,0.7422785910506221
Italy,2022-06-24,0.7366324849649193
Italy,2022-06-25,0.7887491571341191
Italy,2022-06-26,0.898628607558221
Italy,2022-06-27,1.0546673440473848
Italy,2022-06-28,1.1872444134625642
Italy,2022-06-29,1.284756323613918
Italy,2022-06-30,1.3472030745014463
Italy,2022-07-01,1.3745846661251493
Italy,2022-07-02,1.3669010984850267
Italy,2022-07-03,1.3241523715810788
Italy,2022-07-04,1.2515832104191096
Italy,2022-07-05,1.180661965033944
Italy,2022-07-06,1.1166333604313856
Italy,2022-07-07,1.0594973966114347
Italy,2022-07-08,1.0092540735740911
Italy,2022-07-09,0.9659033913193551
Italy,2022-07-10,0.9294453498472264
Italy,2022-07-11,0.9006122143928282
Italy,2022-07-12,0.8837975763668989
Italy,2022-07-13,0.8797337010045614
Italy,2022-07-14,0.8884205883058154
Italy,2022-07-15,0.9098582382706613
Italy,2022-07-16,0.944046650899099
Italy,2022-07-17,0.9909858261911284
Italy,2022-07-18,1.046664839348278
Italy,2022-07-19,1.0870181415797195
Italy,2022-07-20,1.1080348080869808
Italy,2022-07-21,1.1097148388700626
Italy,2022-07-22,1.092058233928964
Italy,2022-07-23,1.0550649932636857
Italy,2022-07-24,0.9987351168742273
Italy,2022-07-25,0.9270982123878129
Italy,2022-07-26,0.8643319255677837
Italy,2022-07-27,0.8144658640413631
Italy,2022-07-28,0.7775000278085517
Italy,2022-07-29,0.7534344168693488
Italy,2022-07-30,0.742269031223755
Italy,2022-07-31,0.7440038708717698
Italy,2022-08-01,0.7566003883835908
Italy,2022-08-02,0.7678272991804014
Italy,2022-08-03,0.7756460558323989
Italy,2022-08-04,0.7800566583395832
Italy,2022-08-05,0.7810591067019543
Italy,2022-08-06,0.7786534009195123
Italy,2022-08-07,0.772839540992257
Italy,2022-08-08,0.7648195368811522
Italy,2022-08-09,0.7618054483519792
Italy,2022-08-10,0.7649992853657012
Italy,2022-08-11,0.7744010479223182
