bin_0_1.6200,bin_1_4.8600,bin_2_8.1000,bin_3_11.3400,bin_4_14.5800,bin_5_17.8200,bin_6_21.0600,bin_7_24.3000,bin_8_27.5400,bin_9_30.7800,bin_10_34.0200,bin_11_37.2600,bin_12_40.5000,bin_13_43.7400,bin_14_46.9800,bin_15_50.2200,bin_16_53.4600,bin_17_56.7000,bin_18_59.9400,bin_19_63.1800,bin_20_66.4200,bin_21_69.6600,bin_22_72.9000,bin_23_76.1400,bin_24_79.3800,bin_25_82.6200,bin_26_85.8600,bin_27_89.1000,bin_28_92.3400,bin_29_95.5800,bin_30_98.8200,bin_31_102.0600,bin_32_105.3000,bin_33_108.5400,bin_34_111.7800,bin_35_115.0200,bin_36_118.2600,bin_37_121.5000,bin_38_124.7400,bin_39_127.9800,bin_40_131.2200,bin_41_134.4600,bin_42_137.7000,bin_43_140.9400,bin_44_144.1800,bin_45_147.4200,bin_46_150.6600,bin_47_153.9000,bin_48_157.1400,bin_49_160.3800,bin_50_163.6200,bin_51_166.8600,bin_52_170.1000,bin_53_173.3400,bin_54_176.5800,bin_55_179.8200,bin_56_183.0600,bin_57_186.3000,bin_58_189.5400,bin_59_192.7800,bin_60_196.0200,bin_61_199.2600,bin_62_202.5000,bin_63_205.7400,bin_64_208.9800,bin_65_212.2200,bin_66_215.4600,bin_67_218.7000,bin_68_221.9400,bin_69_225.1800,bin_70_228.4200,bin_71_231.6600,bin_72_234.9000,bin_73_238.1400,bin_74_241.3800,bin_75_244.6200,bin_76_247.8600,bin_77_251.1000,bin_78_254.3400,bin_79_257.5800,bin_80_260.8200,bin_81_264.0600,bin_82_267.3000,bin_83_270.5400,bin_84_273.7800,bin_85_277.0200,bin_86_280.2600,bin_87_283.5000,bin_88_286.7400,bin_89_289.9800,bin_90_293.2200,bin_91_296.4600,bin_92_299.7000,bin_93_302.9400,bin_94_306.1800,bin_95_309.4200,bin_96_312.6600,bin_97_315.9000,bin_98_319.1400,bin_99_322.3800
tensor(0.0090),tensor(0.0475),tensor(0.0882),tensor(0.1150),tensor(0.1637),tensor(0.2008),tensor(0.2234),tensor(0.2431),tensor(0.2999),tensor(0.3028),tensor(0.2911),tensor(0.3446),tensor(0.4265),tensor(0.4098),tensor(0.4410),tensor(0.4093),tensor(0.4563),tensor(0.5460),tensor(0.5586),tensor(0.5433),tensor(0.5622),tensor(0.6641),tensor(0.6637),tensor(0.5755),tensor(0.5809),tensor(0.5714),tensor(0.6139),tensor(0.6327),tensor(0.7945),tensor(0.6923),tensor(0.7326),tensor(0.7571),tensor(0.7353),tensor(0.6795),tensor(0.7800),tensor(0.5625),tensor(0.7885),tensor(0.8056),tensor(0.8333),tensor(0.8627),tensor(0.8000),tensor(0.7368),tensor(0.8222),tensor(0.7347),tensor(0.8571),tensor(0.9062),tensor(0.7627),tensor(0.7368),tensor(0.7241),tensor(0.7500),tensor(0.9118),tensor(0.7907),tensor(0.8649),tensor(0.9000),tensor(1.),tensor(0.9024),tensor(0.8333),tensor(0.8718),tensor(0.8649),tensor(1.),tensor(0.9091),tensor(1.),tensor(0.8571),tensor(0.8889),tensor(0.9286),tensor(0.9565),tensor(0.8947),tensor(0.9091),tensor(1.),tensor(0.9375),tensor(0.9524),tensor(0.9583),tensor(0.8750),tensor(0.8824),tensor(1.),tensor(0.8462),tensor(0.8235),tensor(1.),tensor(1.),tensor(0.9444),tensor(0.9412),tensor(1.),tensor(1.),tensor(0.9444),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0089),tensor(0.0480),tensor(0.0839),tensor(0.1185),tensor(0.1649),tensor(0.1877),tensor(0.2311),tensor(0.2371),tensor(0.3074),tensor(0.2892),tensor(0.3170),tensor(0.3616),tensor(0.3961),tensor(0.3992),tensor(0.4615),tensor(0.4306),tensor(0.4981),tensor(0.4624),tensor(0.4892),tensor(0.5122),tensor(0.5585),tensor(0.5639),tensor(0.5905),tensor(0.5688),tensor(0.5643),tensor(0.5859),tensor(0.6465),tensor(0.6737),tensor(0.6111),tensor(0.6917),tensor(0.6707),tensor(0.7887),tensor(0.8030),tensor(0.7375),tensor(0.7586),tensor(0.7037),tensor(0.7917),tensor(0.7867),tensor(0.7692),tensor(0.8200),tensor(0.8214),tensor(0.7679),tensor(0.7111),tensor(0.7966),tensor(0.8571),tensor(0.8254),tensor(0.7667),tensor(0.8250),tensor(0.8148),tensor(0.8974),tensor(0.8571),tensor(0.9048),tensor(0.8182),tensor(0.8889),tensor(0.8372),tensor(0.9250),tensor(0.7857),tensor(0.8421),tensor(0.8684),tensor(0.9048),tensor(0.9565),tensor(1.),tensor(0.9778),tensor(1.),tensor(0.9200),tensor(0.9545),tensor(0.7778),tensor(0.9600),tensor(0.8571),tensor(0.8000),tensor(1.),tensor(1.),tensor(0.9474),tensor(0.9444),tensor(1.),tensor(0.9333),tensor(0.8947),tensor(0.9444),tensor(0.8947),tensor(0.9565),tensor(0.8667),tensor(0.9286),tensor(0.9091),tensor(1.),tensor(1.),tensor(1.),tensor(0.9000),tensor(1.),tensor(0.8571),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0096),tensor(0.0510),tensor(0.0850),tensor(0.1225),tensor(0.1557),tensor(0.1956),tensor(0.2334),tensor(0.2534),tensor(0.2925),tensor(0.3077),tensor(0.3661),tensor(0.3937),tensor(0.3738),tensor(0.4653),tensor(0.4272),tensor(0.4698),tensor(0.5057),tensor(0.5118),tensor(0.6042),tensor(0.4519),tensor(0.5479),tensor(0.5656),tensor(0.5727),tensor(0.6075),tensor(0.5507),tensor(0.5506),tensor(0.6408),tensor(0.7264),tensor(0.5694),tensor(0.6239),tensor(0.7294),tensor(0.6806),tensor(0.7463),tensor(0.8228),tensor(0.7241),tensor(0.7843),tensor(0.8113),tensor(0.6250),tensor(0.7679),tensor(0.7755),tensor(0.8958),tensor(0.8065),tensor(0.8298),tensor(0.7647),tensor(0.7857),tensor(0.7692),tensor(0.8387),tensor(0.8571),tensor(0.9630),tensor(0.9211),tensor(0.9714),tensor(0.7750),tensor(0.8667),tensor(0.8571),tensor(0.8780),tensor(0.9737),tensor(1.),tensor(0.9444),tensor(0.9375),tensor(0.8571),tensor(0.9500),tensor(0.9375),tensor(0.8837),tensor(0.8889),tensor(0.8846),tensor(0.9200),tensor(0.9444),tensor(1.),tensor(1.),tensor(0.9375),tensor(0.9565),tensor(1.),tensor(0.9444),tensor(0.9412),tensor(0.9200),tensor(0.9286),tensor(0.8824),tensor(0.8750),tensor(0.8824),tensor(1.),tensor(0.9412),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9167),tensor(0.9333),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8889),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0089),tensor(0.0441),tensor(0.0729),tensor(0.1084),tensor(0.1401),tensor(0.1863),tensor(0.1941),tensor(0.2352),tensor(0.2763),tensor(0.3215),tensor(0.3686),tensor(0.2793),tensor(0.3630),tensor(0.3878),tensor(0.4115),tensor(0.4577),tensor(0.4621),tensor(0.4525),tensor(0.5034),tensor(0.5037),tensor(0.6373),tensor(0.5403),tensor(0.5446),tensor(0.5278),tensor(0.5214),tensor(0.6600),tensor(0.5825),tensor(0.6429),tensor(0.6471),tensor(0.7083),tensor(0.6790),tensor(0.6753),tensor(0.7231),tensor(0.7412),tensor(0.7037),tensor(0.7018),tensor(0.7959),tensor(0.8028),tensor(0.7193),tensor(0.7755),tensor(0.7959),tensor(0.7333),tensor(0.9348),tensor(0.8448),tensor(0.7333),tensor(0.7969),tensor(0.8710),tensor(0.7429),tensor(0.8065),tensor(0.7805),tensor(0.9310),tensor(0.8810),tensor(0.7568),tensor(0.9000),tensor(0.8250),tensor(0.8889),tensor(1.),tensor(0.9500),tensor(0.9000),tensor(0.9545),tensor(0.9583),tensor(1.),tensor(0.8810),tensor(0.8095),tensor(0.9286),tensor(1.),tensor(0.8235),tensor(0.8462),tensor(0.9286),tensor(0.9333),tensor(0.9524),tensor(0.9524),tensor(0.9500),tensor(0.9412),tensor(0.9545),tensor(0.9091),tensor(1.),tensor(0.9444),tensor(0.9444),tensor(0.9167),tensor(0.9333),tensor(1.),tensor(0.8125),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.8889),tensor(1.),tensor(0.8333),tensor(0.9286),tensor(1.),tensor(1.),tensor(0.8889),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0093),tensor(0.0484),tensor(0.0845),tensor(0.1221),tensor(0.1464),tensor(0.1891),tensor(0.2145),tensor(0.2434),tensor(0.3005),tensor(0.2776),tensor(0.3392),tensor(0.3472),tensor(0.4185),tensor(0.4045),tensor(0.4181),tensor(0.3955),tensor(0.4869),tensor(0.4639),tensor(0.5302),tensor(0.5341),tensor(0.4931),tensor(0.5746),tensor(0.6337),tensor(0.5614),tensor(0.6224),tensor(0.6789),tensor(0.5784),tensor(0.7363),tensor(0.6625),tensor(0.6555),tensor(0.5930),tensor(0.6757),tensor(0.7973),tensor(0.6607),tensor(0.8082),tensor(0.7719),tensor(0.7407),tensor(0.7045),tensor(0.7143),tensor(0.7200),tensor(0.7609),tensor(0.7903),tensor(0.8824),tensor(0.9057),tensor(0.8182),tensor(0.7381),tensor(0.8269),tensor(0.8043),tensor(0.8684),tensor(0.8636),tensor(0.8462),tensor(0.7500),tensor(0.8864),tensor(0.8214),tensor(0.8788),tensor(0.9412),tensor(0.9714),tensor(0.7778),tensor(0.8750),tensor(0.9688),tensor(0.9583),tensor(0.8824),tensor(1.),tensor(0.8947),tensor(0.8966),tensor(0.9286),tensor(1.),tensor(1.),tensor(0.8500),tensor(1.),tensor(1.),tensor(0.9474),tensor(0.9130),tensor(0.9444),tensor(0.8889),tensor(0.7778),tensor(0.9231),tensor(1.),tensor(0.9333),tensor(0.9600),tensor(1.),tensor(0.9375),tensor(1.),tensor(0.8571),tensor(0.8889),tensor(0.9231),tensor(1.),tensor(1.),tensor(0.9286),tensor(0.9000),tensor(1.),tensor(1.),tensor(1.),tensor(0.8571),tensor(1.),tensor(1.),tensor(1.),tensor(0.6667),tensor(1.),tensor(1.)
tensor(0.0087),tensor(0.0468),tensor(0.0764),tensor(0.1097),tensor(0.1485),tensor(0.1893),tensor(0.2137),tensor(0.2343),tensor(0.2466),tensor(0.3333),tensor(0.3107),tensor(0.3760),tensor(0.4049),tensor(0.3870),tensor(0.4293),tensor(0.4444),tensor(0.4826),tensor(0.4333),tensor(0.5931),tensor(0.5159),tensor(0.5745),tensor(0.5950),tensor(0.5702),tensor(0.5586),tensor(0.6061),tensor(0.6042),tensor(0.6289),tensor(0.5825),tensor(0.5467),tensor(0.6446),tensor(0.7368),tensor(0.7215),tensor(0.7391),tensor(0.7733),tensor(0.7458),tensor(0.6296),tensor(0.7843),tensor(0.7121),tensor(0.6400),tensor(0.7547),tensor(0.7800),tensor(0.7333),tensor(0.7778),tensor(0.8846),tensor(0.7778),tensor(0.7778),tensor(0.8393),tensor(0.8571),tensor(0.8621),tensor(0.8500),tensor(0.7857),tensor(0.9500),tensor(0.7879),tensor(0.7143),tensor(0.9143),tensor(0.8108),tensor(0.8846),tensor(0.8947),tensor(0.9189),tensor(0.8636),tensor(0.9545),tensor(0.9333),tensor(1.),tensor(0.8095),tensor(0.9630),tensor(1.),tensor(0.9444),tensor(0.8750),tensor(0.8824),tensor(0.8125),tensor(0.9048),tensor(0.9565),tensor(0.9474),tensor(0.8235),tensor(1.),tensor(1.),tensor(1.),tensor(0.8333),tensor(0.8500),tensor(0.9474),tensor(1.),tensor(1.),tensor(0.7857),tensor(0.9231),tensor(1.),tensor(0.8571),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.9286),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.5000),tensor(1.),tensor(1.)
tensor(0.0093),tensor(0.0423),tensor(0.0835),tensor(0.1139),tensor(0.1574),tensor(0.1662),tensor(0.2247),tensor(0.2222),tensor(0.2585),tensor(0.2870),tensor(0.3553),tensor(0.3582),tensor(0.3551),tensor(0.3831),tensor(0.4257),tensor(0.4085),tensor(0.4803),tensor(0.4535),tensor(0.5034),tensor(0.5806),tensor(0.5495),tensor(0.5285),tensor(0.5478),tensor(0.6204),tensor(0.6028),tensor(0.7222),tensor(0.6526),tensor(0.6531),tensor(0.6056),tensor(0.6250),tensor(0.6883),tensor(0.6479),tensor(0.7188),tensor(0.7778),tensor(0.7544),tensor(0.7255),tensor(0.7692),tensor(0.8088),tensor(0.7959),tensor(0.6852),tensor(0.7551),tensor(0.8814),tensor(0.7179),tensor(0.8393),tensor(0.8214),tensor(0.7692),tensor(0.7241),tensor(0.7812),tensor(0.8400),tensor(0.7632),tensor(0.8333),tensor(0.8864),tensor(0.7714),tensor(0.7500),tensor(0.8810),tensor(0.9211),tensor(0.8800),tensor(0.9024),tensor(0.9444),tensor(0.8636),tensor(0.9545),tensor(1.),tensor(0.8750),tensor(0.8571),tensor(0.9231),tensor(1.),tensor(1.),tensor(0.9130),tensor(0.9333),tensor(1.),tensor(0.9000),tensor(0.9565),tensor(0.9444),tensor(0.8824),tensor(0.9444),tensor(1.),tensor(0.8889),tensor(0.9412),tensor(1.),tensor(0.9545),tensor(0.8667),tensor(0.8571),tensor(0.9231),tensor(1.),tensor(0.9000),tensor(1.),tensor(0.9000),tensor(1.),tensor(1.),tensor(0.8333),tensor(0.8333),tensor(0.9091),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0091),tensor(0.0505),tensor(0.0952),tensor(0.1132),tensor(0.1634),tensor(0.1796),tensor(0.2093),tensor(0.2585),tensor(0.3200),tensor(0.3364),tensor(0.3393),tensor(0.3400),tensor(0.4247),tensor(0.3960),tensor(0.4187),tensor(0.4771),tensor(0.5000),tensor(0.5806),tensor(0.5312),tensor(0.5806),tensor(0.5330),tensor(0.5440),tensor(0.6018),tensor(0.6263),tensor(0.6462),tensor(0.5800),tensor(0.6804),tensor(0.6200),tensor(0.6714),tensor(0.7280),tensor(0.7674),tensor(0.7568),tensor(0.7183),tensor(0.8000),tensor(0.6296),tensor(0.8235),tensor(0.7544),tensor(0.7324),tensor(0.8182),tensor(0.7800),tensor(0.8039),tensor(0.7667),tensor(0.8222),tensor(0.8929),tensor(0.9643),tensor(0.7742),tensor(0.8793),tensor(0.8824),tensor(0.7857),tensor(0.8205),tensor(0.8611),tensor(0.8108),tensor(0.8750),tensor(0.7368),tensor(0.8810),tensor(0.9189),tensor(0.9643),tensor(0.9487),tensor(0.9167),tensor(1.),tensor(0.9583),tensor(0.7857),tensor(0.8936),tensor(0.8889),tensor(1.),tensor(0.9565),tensor(0.9474),tensor(0.7600),tensor(0.8125),tensor(0.9412),tensor(1.),tensor(0.9091),tensor(0.8947),tensor(0.9474),tensor(1.),tensor(1.),tensor(0.9000),tensor(0.9474),tensor(0.8421),tensor(0.9167),tensor(1.),tensor(1.),tensor(1.),tensor(0.8947),tensor(0.9000),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
tensor(0.0092),tensor(0.0477),tensor(0.0899),tensor(0.1153),tensor(0.1350),tensor(0.2114),tensor(0.2253),tensor(0.2562),tensor(0.2975),tensor(0.3208),tensor(0.3485),tensor(0.3257),tensor(0.4120),tensor(0.3583),tensor(0.4515),tensor(0.4583),tensor(0.5019),tensor(0.4412),tensor(0.4348),tensor(0.5504),tensor(0.6316),tensor(0.5656),tensor(0.5897),tensor(0.5429),tensor(0.5725),tensor(0.6739),tensor(0.5800),tensor(0.6211),tensor(0.6418),tensor(0.6639),tensor(0.6824),tensor(0.6667),tensor(0.7429),tensor(0.7200),tensor(0.7455),tensor(0.7647),tensor(0.7692),tensor(0.7143),tensor(0.7115),tensor(0.7600),tensor(0.7885),tensor(0.8000),tensor(0.8085),tensor(0.7308),tensor(0.7742),tensor(0.8000),tensor(0.7869),tensor(0.8718),tensor(0.7857),tensor(0.8974),tensor(0.8065),tensor(0.8636),tensor(0.8529),tensor(0.8571),tensor(0.8462),tensor(0.8571),tensor(0.9615),tensor(0.9722),tensor(0.9333),tensor(0.9048),tensor(1.),tensor(0.9286),tensor(0.9348),tensor(1.),tensor(0.9655),tensor(0.9091),tensor(0.9500),tensor(0.8750),tensor(0.9375),tensor(0.8750),tensor(0.8571),tensor(0.8889),tensor(0.8889),tensor(1.),tensor(0.9524),tensor(0.8000),tensor(0.9474),tensor(0.9444),tensor(0.9474),tensor(1.),tensor(1.),tensor(1.),tensor(0.8750),tensor(1.),tensor(0.9167),tensor(1.),tensor(1.),tensor(0.9545),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.)
